Clade,Virus_ID
1,9
1,13
1,16
1,40
1,50
1,53
1,78
1,82
1,94
1,96
1,117
1,127
1,133
1,135
1,136
1,141
1,146
1,152
1,165
1,167
1,168
1,174
1,185
1,198
1,208
1,223
1,243
1,245
1,247
1,248
1,258
1,260
1,266
1,268
1,271
1,279
1,288
1,300
1,336
1,340
1,363
1,369
1,376
1,380
1,381
1,385
1,393
1,395
1,397
1,399
1,406
1,419
1,422
1,428
1,437
1,440
1,443
1,448
1,454
1,458
1,462
1,464
1,467
1,469
1,472
1,475
1,484
1,493
1,505
1,517
1,533
1,554
1,569
1,578
1,594
1,600
1,624
1,651
1,653
1,656
1,716
1,717
1,33
1,8
1,148
1,456
1,30
1,532
1,246
1,10
1,584
1,290
1,269
1,147
1,184
2,17
2,52
2,87
2,89
2,102
2,106
2,119
2,123
2,158
2,162
2,169
2,171
2,173
2,191
2,226
2,254
2,274
2,278
2,298
2,302
2,305
2,315
2,316
2,321
2,341
2,350
2,352
2,358
2,375
2,378
2,388
2,405
2,414
2,424
2,441
2,473
2,501
2,518
2,524
2,543
2,565
2,566
2,589
2,613
2,620
2,635
2,643
3,23
3,31
3,32
3,49
3,56
3,67
3,71
3,80
3,95
3,112
3,118
3,139
3,145
3,175
3,195
3,196
3,201
3,217
3,230
3,237
3,244
3,249
3,253
3,262
3,263
3,285
3,332
3,343
3,345
3,346
3,347
3,355
3,364
3,365
3,386
3,391
3,402
3,421
3,426
3,427
3,434
3,436
3,447
3,470
3,471
3,477
3,489
3,491
3,497
3,529
3,544
3,551
3,564
3,579
3,580
3,585
3,604
3,605
3,619
3,632
3,639
3,640
3,644
3,668
